accompagner (v.)| to accompany
adorer (v.)| to adore
aider (v.)| to help
aimer (v.)| to love
apporter (v.)| to bring
accepter (v.)| to accept
apprécier (v.)| to appraise
arriver (v.)| to arrive
bavarder (v.)| to chat
cesser (v.)| to stop
chanter (v.)| to sing
chercher (v.)| to seek
continuer (v.)| to continue
danser (v.)| to dance
décider (v.)| to decide
déjeuner (v.)| to have lunch
demander (v.)| to request
dépenser (v.)| to spend
dessiner (v.)| to draw
détester (v.)| to detest
dîner (v.)| to have dinner
donner (v.)| to give
écouter (v.)| to hear
emporter (v.)| to take
emprunter (v.)| to borrow
enseigner (v.)| to teach
entrer (v.)| to enter
étudier (v.)| to study
fermer (v.)| to close
gagner (v.)| to earn
garder (v.)| to guard
habiter (v.)| to inhabit
hésiter (v.)| to hesitate
inviter (v.)| to invite
jouer (v.)| to play
laisser (v.)| to leave
laver (v.)| to wash
marcher (v.)| to walk
monter (v.)| to go up
montrer (v.)| to show
organiser (v.)| to organize
oublier (v.)| to forget
parler (v.)| to speak
passer (v.)| to pass
penser (v.)| to think
porter (v.)| to carry
practiquer (v.)| to practice
préparer (v.)| to prepare
présenter (v.)| to present
prêter (v.)| to lend
raconter (v.)| to recount
refuser (v.)| to refuse
regarder (v.)| to view
remercier (v.)| to thank
rencontrer (v.)| to encounter
rentrer (v.)| to return 
retourner (v.)| to overturn
retrouver (v.)| to regain
saluer (v.)| to greet
supporter (v.)| to support
téléphoner (v.)| to phone
travailler (v.)| to work
traverser (v.)| to traverse
trouver (v.)| to find8
applaudir| to 
avertir| to 
bâtir| to 
choisir| to 
désobéir| to 
établir| to 
finir| to 
grossir| to 
guérir| to 
maigrir| to 
mincir| to 
obéir| to 
réfléchir| to 
remplir| to 
réussir| to 
rougir| to 
attendre| to 
confondre| to 
défendre| to 
descendre| to 
entendre| to 
interrompre| to 
perdre| to 
prétendre| to 
rendre| to 
répondre| to 
rompre| to 
vendre| to 
